年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量現象なし情報
2022/4/30,12.9,17.1,9.0,0,1
2022/5/1,13.3,16.5,11.3,22.0,0
2022/5/2,14.2,19.9,11.3,3.0,0
2022/5/3,15.3,20.2,11.1,0,1
2022/5/4,18.3,23.7,12.1,0,1
2022/5/5,19.8,25.2,15.5,0,1
2022/5/6,19.5,23.6,16.6,0,1
2022/5/7,18.5,23.1,15.8,3.5,0
2022/5/8,18.3,22.4,15.8,0.0,0
2022/5/9,14.7,18.1,11.9,9.0,0
2022/5/10,16.5,21.9,11.8,0.5,0
2022/5/11,18.7,23.9,13.8,0,1
2022/5/12,19.4,23.3,17.1,4.0,0
2022/5/13,18.7,21.2,17.0,53.0,0
2022/5/14,21.8,24.9,20.0,21.5,0
2022/5/15,17.6,20.5,15.0,1.5,0
2022/5/16,15.0,15.8,14.5,7.0,0
2022/5/17,16.0,17.7,14.5,1.0,0
2022/5/18,18.6,24.4,13.8,0,1
2022/5/19,20.3,26.0,15.0,0,1
2022/5/20,20.9,24.2,17.4,0,1
2022/5/21,18.7,20.3,15.1,12.0,0
2022/5/22,19.1,25.0,14.9,2.0,0
2022/5/23,19.6,24.4,16.8,1.0,0
2022/5/24,21.1,25.7,17.0,0,1
2022/5/25,21.6,26.2,18.7,0,1
2022/5/26,21.5,25.8,17.9,0.0,0
2022/5/27,21.6,26.2,19.4,23.0,0
2022/5/28,23.0,26.8,18.4,0,1
2022/5/29,23.9,29.9,18.9,0,1
2022/5/30,22.9,28.2,19.9,0,1
2022/5/31,19.6,23.0,17.0,13.0,0
2022/6/1,21.9,26.8,18.8,0,1
2022/6/2,22.5,27.4,18.6,0,1
2022/6/3,21.8,27.5,19.4,0.0,0
2022/6/4,20.8,26.4,18.0,0.0,0
2022/6/5,22.0,25.8,19.3,0.0,0
2022/6/6,17.4,21.0,15.8,37.0,0
2022/6/7,17.5,20.0,15.7,0.5,0
2022/6/8,17.3,20.9,15.1,1.0,0
2022/6/9,19.5,24.1,17.0,0.5,0
2022/6/10,21.4,26.5,18.2,0.0,0
2022/6/11,21.7,24.8,19.3,4.0,0
2022/6/12,20.8,25.9,18.5,6.0,0
2022/6/13,21.6,27.1,18.2,0,1
2022/6/14,17.2,19.2,15.8,5.0,0
2022/6/15,16.8,18.0,15.3,15.0,0
2022/6/16,20.8,23.6,17.6,0.0,0
2022/6/17,23.6,27.8,20.8,0,1
2022/6/18,22.7,25.5,20.8,3.0,0
2022/6/19,23.8,27.8,19.8,0,1
2022/6/20,25.0,29.9,22.0,0,1
2022/6/21,24.3,28.5,21.7,4.0,0
2022/6/22,23.3,27.0,21.6,11.5,0
2022/6/23,23.7,28.1,21.8,0.0,0
2022/6/24,26.7,30.6,22.7,0.0,0
2022/6/25,28.5,32.8,25.3,0,1
2022/6/26,28.3,33.1,25.1,0,1
2022/6/27,28.8,34.7,23.9,0,1
2022/6/28,28.6,33.2,25.1,0,1
2022/6/29,28.9,33.1,25.2,0,1
2022/6/30,30.0,36.1,25.4,0,1
2022/7/1,28.9,34.2,25.1,0,1
2022/7/2,28.4,32.9,25.3,0,1
2022/7/3,27.9,32.5,25.4,0.0,0
2022/7/4,26.2,28.5,24.6,1.0,0
2022/7/5,25.5,30.2,23.7,6.0,0
2022/7/6,26.1,30.6,23.6,0.5,0
2022/7/7,25.5,29.0,23.8,0.0,0
2022/7/8,25.4,29.2,23.4,0.0,0
2022/7/9,26.0,30.6,23.1,0,1
2022/7/10,26.9,30.7,24.6,0.0,0
2022/7/11,27.7,33.8,24.5,0,1
2022/7/12,25.9,30.6,22.9,32.5,0
2022/7/13,23.9,26.0,22.6,35.5,0
2022/7/14,24.6,28.0,23.4,2.5,0
2022/7/15,24.0,25.6,23.3,85.0,0
2022/7/16,23.8,25.1,22.7,11.0,0
2022/7/17,25.5,30.1,22.4,13.0,0
2022/7/18,27.4,31.9,23.8,0.0,0
2022/7/19,26.6,28.5,25.1,6.5,0
2022/7/20,29.3,34.4,25.3,0,1
2022/7/21,27.9,31.4,26.1,0.0,0
2022/7/22,28.2,32.5,25.9,1.0,0
2022/7/23,28.2,32.8,25.4,0,1
2022/7/24,28.1,32.6,25.2,0,1
2022/7/25,28.5,32.7,25.8,0,1
2022/7/26,26.9,29.7,25.4,15.0,0
2022/7/27,28.6,32.2,26.6,0.5,0
2022/7/28,28.9,33.0,26.3,0,1
2022/7/29,29.1,33.6,25.7,0.0,0
2022/7/30,29.6,33.5,26.3,0,1
2022/7/31,30.6,35.2,27.0,0,1
2022/8/1,30.8,35.0,27.7,0,1
2022/8/2,31.3,35.6,28.2,0,1
2022/8/3,31.7,36.2,28.0,0.0,0
2022/8/4,25.1,30.4,22.8,51.0,0
2022/8/5,24.4,28.1,22.7,0.0,0
2022/8/6,25.3,29.7,22.8,0.0,0
2022/8/7,27.4,31.4,24.5,0.5,0
2022/8/8,29.2,32.7,26.5,0,1
2022/8/9,30.1,33.4,28.1,0,1
2022/8/10,29.9,33.4,27.5,0,1
2022/8/11,28.9,33.1,27.0,0.0,0
2022/8/12,28.0,31.4,25.6,2.0,0
2022/8/13,25.5,29.4,24.4,64.5,0
2022/8/14,28.5,33.0,24.4,0.0,0
2022/8/15,29.5,33.1,26.6,0,1
2022/8/16,29.9,33.1,27.9,0.0,0
2022/8/17,27.9,33.4,24.6,6.5,0
2022/8/18,26.8,30.2,24.4,6.0,0
2022/8/19,27.5,32.6,24.4,0,1
2022/8/20,26.6,30.5,24.6,1.5,0
2022/8/21,26.7,29.6,24.9,0.5,0
2022/8/22,26.4,29.3,24.8,0.0,0
2022/8/23,28.5,32.2,25.0,0,1
2022/8/24,28.3,33.2,23.4,3.0,0
2022/8/25,25.9,28.7,23.0,0.0,0
2022/8/26,28.0,31.9,25.7,0.0,0
2022/8/27,29.1,33.3,26.0,1.0,0
2022/8/28,24.6,28.1,22.4,1.0,0
2022/8/29,23.7,26.9,21.1,1.0,0
2022/8/30,22.9,26.0,20.4,3.5,0
2022/8/31,27.3,31.9,23.1,4.0,0
2022/9/1,27.4,31.8,24.0,19.5,0
2022/9/2,23.9,26.6,22.7,23.5,0
2022/9/3,25.2,28.8,22.6,0.0,0
2022/9/4,26.3,31.5,23.9,0.0,0
2022/9/5,26.8,31.2,24.2,0,1
2022/9/6,27.7,31.7,24.2,0.5,0
2022/9/7,27.0,28.9,25.1,7.5,0
2022/9/8,24.6,28.4,22.2,0.0,0
2022/9/9,24.7,28.4,22.0,0.0,0
2022/9/10,25.8,29.8,22.6,0,1
2022/9/11,24.8,29.0,22.0,0.0,0
2022/9/12,26.1,31.3,22.7,2.0,0
2022/9/13,26.1,29.8,22.5,0.5,0
2022/9/14,26.7,30.8,23.3,0,1
2022/9/15,23.7,26.2,21.9,0,1
2022/9/16,25.4,30.6,20.8,0.0,0
2022/9/17,26.7,31.1,23.4,2.0,0
2022/9/18,25.4,26.9,23.6,104.5,0
2022/9/19,27.3,30.2,24.7,44.0,0
2022/9/20,23.3,28.0,18.1,21.5,0
2022/9/21,20.1,24.4,17.1,0.0,0
2022/9/22,20.4,23.3,18.0,0.0,0
2022/9/23,21.8,24.9,19.2,35.0,0
2022/9/24,23.9,27.3,21.9,44.0,0
2022/9/25,23.5,27.3,21.4,0,1
2022/9/26,23.5,28.4,20.0,0,1
2022/9/27,23.6,28.2,20.7,0,1
2022/9/28,23.0,27.2,19.8,0.0,0
2022/9/29,21.8,24.7,20.1,1.0,0
2022/9/30,23.5,28.1,19.7,0.0,0
2022/10/1,23.8,28.8,20.4,0,1
2022/10/2,23.7,28.8,19.5,0,1
2022/10/3,23.4,27.5,20.8,0,1
2022/10/4,25.0,28.8,21.4,0,1
2022/10/5,20.8,25.6,15.6,10.0,0
2022/10/6,13.8,15.9,11.9,5.5,0
2022/10/7,12.7,13.8,11.6,76.0,0
2022/10/8,17.0,21.0,12.9,0,1
2022/10/9,17.3,21.4,15.2,10.0,0
2022/10/10,20.0,25.9,15.0,7.5,0
2022/10/11,22.0,25.7,19.3,0,1
2022/10/12,19.1,19.9,18.3,0.0,0
2022/10/13,16.1,18.3,15.2,6.5,0
2022/10/14,17.6,19.8,15.2,2.5,0
2022/10/15,20.6,24.9,18.1,0.0,0
2022/10/16,21.1,25.8,17.7,0,1
2022/10/17,20.8,22.7,19.0,2.5,0
2022/10/18,17.1,19.2,14.3,1.0,0
2022/10/19,15.1,18.5,12.5,1.0,0
2022/10/20,15.4,19.9,10.7,0,1
2022/10/21,17.5,22.8,12.0,0,1
